sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_II	Bacteriocin_IIc	Bacteriocin_IId	botH	bt1fas	CaiA	Chal_sti_synt_C	Chal_sti_synt_N	Condensation	cyanobactin_synth	cycdipepsynth	cypI	DOIS	DUF1205	DUF692	ectoine_synt	fabH	fom1	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	Lactococcin	LANC_like	Lant_dehyd_C	Lant_dehyd_N	lasso	Linocin_M18	LipV	LmbU	Lycopene_cycl	melC	MGT	micJ25	mvd_mst	mvnA	NAD_binding_4	NapT7	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	prnB	salQ	spcDK_like_cou	spcDK_like_glyc	strepbact	strK_like1	strK_like2	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	thiostrepton	TIGR03651	TIGR03678	TIGR03731	TIGR03793	TIGR03795	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	YcaO
sim_meta-144	173	0	10791	0	15	0	0	0	0	0	0	32	56	405	0	0	5	0	0	84	0	818	0	204	2713	2913	0	17	21	0	180	0	104	21	2	0	22	0	0	26	0	40	15	0	0	1236	4	0	121	3026	348	493	1772	76	0	278	0	603	148	404	0	0	2	3	0	3	0	0	1405	0	0	0	81	0	0	8	0	0	0	0	0	0	0	0	0	0	184
sim_meta-145	379	0	12013	2	69	0	0	0	3	3	0	26	48	1144	0	0	0	0	0	85	18	684	0	186	2077	2110	0	40	40	0	143	0	29	17	6	0	26	0	0	6	0	128	18	0	0	1290	1	0	425	3123	258	491	2101	1	21	189	0	539	225	464	23	0	1	1	0	0	0	3	1375	3	0	1	61	6	0	5	0	0	0	11	4	4	0	0	2	1	130
sim_meta-146	369	0	12415	86	71	0	4	0	0	2	0	22	20	913	20	0	0	0	0	56	21	701	0	222	2033	2528	0	46	59	0	207	0	12	0	0	0	9	0	0	49	0	142	38	0	0	1595	0	0	412	3431	293	371	2199	0	43	247	0	621	544	470	24	0	0	1	0	0	0	0	1569	5	18	4	30	8	0	5	0	0	0	9	8	0	0	0	0	0	172
sim_meta-147	270	0	15829	23	22	0	0	0	0	0	0	18	20	1946	0	0	0	0	0	184	13	697	4	208	2039	2373	0	44	58	1	118	1	36	11	7	0	16	0	0	11	0	79	21	2	0	1468	1	0	838	3767	312	459	2139	3	12	300	5	918	900	725	0	0	3	3	0	0	0	0	1410	2	0	2	63	24	0	3	0	0	0	0	1	3	1	0	0	0	193
sim_meta-148	76	0	11168	0	68	0	0	0	0	0	0	29	26	754	0	0	0	0	0	70	6	587	0	206	2213	2095	0	0	14	0	108	0	59	29	6	0	9	0	0	34	0	23	43	0	0	1247	0	0	386	2828	301	660	1669	0	0	198	0	591	170	430	0	0	3	1	0	0	0	0	1757	3	0	10	28	8	0	7	0	2	0	18	18	5	0	0	0	0	141
sim_meta-149	261	3	12365	3	51	0	0	0	0	6	0	12	24	493	0	2	0	0	0	104	29	695	1	214	2115	2157	1	4	28	0	89	1	24	6	1	0	50	0	1	9	0	98	14	0	0	1269	6	0	489	2940	375	295	1943	2	52	395	1	669	402	344	0	0	2	0	0	0	0	19	1220	13	0	4	92	13	0	0	0	0	0	13	1	0	2	1	0	1	128
sim_meta-15	238	1	13782	1	41	0	0	0	0	7	0	40	34	1416	0	0	0	0	0	115	12	744	0	203	2008	2060	0	5	7	0	82	1	15	12	2	0	49	0	0	15	0	94	43	0	0	1325	2	0	390	3233	283	796	1916	0	16	193	0	599	160	515	0	0	2	5	0	0	0	2	1385	11	0	0	28	0	0	6	0	2	0	8	1	10	0	0	0	0	212
sim_meta-150	328	0	11702	6	56	0	0	0	0	0	0	22	12	1037	84	0	0	0	0	127	0	685	0	197	2416	2576	0	64	53	0	78	0	1	0	0	0	22	0	0	57	0	101	30	0	0	1365	7	0	580	2882	255	777	1810	2	34	144	0	632	340	494	26	0	2	0	0	0	0	0	1349	9	0	0	39	15	0	11	0	0	0	11	1	30	1	0	1	0	168
sim_meta-16	245	0	10652	0	34	0	0	0	0	0	0	20	6	608	0	0	2	0	0	141	10	779	0	233	1634	1923	0	0	0	21	85	0	34	15	3	0	40	0	0	25	0	49	29	0	0	1425	0	0	416	2791	316	426	1667	4	18	242	1	808	487	402	0	0	2	1	0	0	0	1	1270	3	0	0	41	19	0	0	0	0	0	0	0	0	6	0	2	0	120
sim_meta-17	208	0	9866	100	44	0	0	0	0	0	0	11	17	563	0	0	0	0	0	75	7	856	0	184	2459	2628	0	27	50	0	167	0	15	6	5	0	34	0	0	17	0	96	31	1	0	1364	0	0	441	2690	320	285	1776	11	21	259	2	667	680	537	14	0	1	9	0	0	0	10	1600	3	12	1	59	36	0	6	0	0	0	0	0	5	0	0	0	1	286
